;phoneId;location;motionType;mean(SCL);mean(SCR);mean(HR);mean(RR);mean(skinTemp);mad(SCL);mad(SCR);mad(HR);mad(RR);mad(skinTemp);std(SCL);std(SCR);std(HR);std(RR);std(skinTemp);RMSSD;SDNN;NN50;PNN50;receptivity
35;5a2b02b7b07e944d86d41969;{'lat': 48.14974894227597, 'long': 11.566367526025406};2.0;3669.859085778781;21.463826185101578;83.59593679458239;0.6825192234762973;29.432883747178334;207.73076072999092;16.707545133987946;8.538458794694497;0.09965349705730979;0.22412449235410095;263.5897568200677;30.983148288096224;9.21849375902384;0.1299018580879813;0.25107894116989266;0.07617692932731471;0.1298652355357751;0;0.0;-1.0
36;5a2b02b7b07e944d86d41969;{'lat': 48.14909844762928, 'long': 11.575967803729544};1.0;965.7515036864572;1.1503977493209212;65.93713620488941;0.91240547613504;29.107147846332946;42.274321333656815;1.2929454523606565;2.9068630307597014;0.0766142004577973;0.04412805045799996;50.23691133585777;3.301030236868907;3.5121231683632983;0.09693577341414908;0.053087681710058635;0.04978239462750587;0.09690758570290772;0;0.0;1.0
38;5a2b02b7b07e944d86d41969;{'lat': 48.149102197847284, 'long': 11.575940802184853};1.0;1164.4044444444446;3.3392592592592667;68.3820987654321;0.876436553086419;29.212611111111112;149.7900192043896;3.958011888431639;4.282729766803841;0.07668625905807028;0.05971838134430677;165.8952035967855;9.014782440529114;5.341371900226307;0.0992664784846336;0.07052198830044429;0.04465432212747208;0.09923586658147512;0;0.0;1.0
39;5a2b02b7b07e944d86d41969;{'lat': 48.14911599679116, 'long': 11.575859315041143};1.0;1087.670942593905;2.218922749822832;67.96456413890857;0.8934162891566257;29.72401842664777;45.61870772371179;2.511823137800708;3.134503076716756;0.09426303389034511;0.025421882636227154;53.69491881698474;5.183488651395917;3.68918567259926;0.12224535161750136;0.030616774720084054;0.06211917553764894;0.12220206854997748;0;0.0;1.0
40;5a2b02b7b07e944d86d41969;{'lat': 48.14910031965673, 'long': 11.576010938898271};1.0;1001.9834463276836;2.5165913370998143;69.87627118644068;0.8544692519774005;30.071101694915257;33.956042963388555;3.043967718939852;3.9084496792109555;0.07699759920840107;0.08086258737910638;41.285174693150054;7.955749520763813;4.972729668505779;0.09748307436626702;0.0910697422971957;0.040203301049329586;0.09745556041387189;0;0.0;1.0
41;5a2b02b7b07e944d86d41969;{'lat': 48.14911622195932, 'long': 11.575861951411515};1.0;1090.9154532254718;3.69450321510061;72.6571250777847;0.8026521966397007;30.025301804604855;41.00722412459387;3.969519165722147;3.5339857631263962;0.0955937805703036;0.07430494077521015;51.54713377309816;6.8741768467330315;4.579318655771347;0.12479453427964453;0.08811230742795324;0.06375866561180896;0.12475573863596894;0;0.0;1.0
42;5a2b02b7b07e944d86d41969;{'lat': 48.149104344285064, 'long': 11.575990682557553};1.0;5549.975126903554;27.79746192893402;75.16243654822335;0.7774657461928925;30.19999999999999;373.196880448693;22.155364305530494;0.9085521399675341;0.08570345806385135;1.0658141036401503e-14;422.2936389548809;46.548643507047444;1.0804431027357475;0.10882696690354395;1.0685295579867266e-14;0.05587350070950846;0.1085506804238222;0;0.0;-1.0
43;5a2b02b7b07e944d86d41969;{'lat': 48.149888066594244, 'long': 11.593324999464276};1.0;291572.0;0.0;78.31106471816284;0.6879502741823236;22.734398051496175;0.0;0.0;1.5494092163126902;0.13686556573004238;0.19905524005445085;0.0;0.0;1.8819539701620343;0.17233640405999154;0.23213464466824793;0.11673382468765196;0.1722764896132434;0;0.0;-1.0
44;5a2b02b7b07e944d86d41969;{'lat': 48.14923875823689, 'long': 11.594682802983044};1.0;291572.0;0.0;94.16305916305916;0.5991794978354972;21.995670995670995;0.0;0.0;8.284683570397855;0.11099309313293729;0.18230780282728334;0.0;0.0;10.307095051298267;0.13897350200023134;0.21338128104494025;0.09545716213633358;0.138923408329602;0;0.0;-1.0
45;5a2b02b7b07e944d86d41969;{'lat': 48.14925295242761, 'long': 11.594717898450043};1.0;291572.0;0.0;83.8105360443623;0.6584509131238441;22.27788354898336;0.0;0.0;3.0432433263518988;0.1174786741059377;0.1481094775540616;0.0;0.0;3.9518564226324164;0.14914586247413122;0.18152161189456986;0.11153983226287523;0.14907699405358196;0;0.0;-1.0
46;5a2b02b7b07e944d86d41969;{'lat': 48.14925502006837, 'long': 11.594702305748752};2.0;291572.0;0.0;120.33826638477801;0.518935554615926;21.2615221987315;0.0;0.0;31.05180523460675;0.15044049141595414;0.19219919336935876;0.0;0.0;32.05394377923019;0.1940051967668988;0.2205572376941011;0.12732908952270242;0.19393689322503718;0;0.0;-1.0
47;5a2b02b7b07e944d86d41969;{'lat': 48.14923462858371, 'long': 11.594688265857576};1.0;291572.0;0.0;87.76447876447877;0.6169533405405399;21.688355212355212;0.0;0.0;6.06316542687199;0.10722971729103611;0.19773516793130685;0.0;0.0;7.427712740525829;0.13623543260358836;0.2282098816420315;0.10154151219184651;0.13618287447226063;0;0.0;-1.0
48;5a2b02b7b07e944d86d41969;{'lat': 48.150257042221654, 'long': 11.57604968683827};2.0;291572.0;0.0;76.0515759312321;0.6674674765998083;22.176886341929322;0.0;0.0;2.804317424870623;0.17334765159563545;0.8386910342826961;0.0;0.0;3.4309934370833823;0.21884213171036007;1.065067098791434;0.14596295266137946;0.21873770206685791;0;0.0;-1.0
49;5a2b02b7b07e944d86d41969;{'lat': 48.149100571289424, 'long': 11.575887568691934};1.0;4892.348509655751;53.644773299748124;73.8469773299748;0.7146262166246843;30.6169080604534;1625.791641393152;58.701568914211755;2.2143453102297466;0.14395643619336462;0.9053743441047152;1925.2861561011196;149.57465967450761;2.632478005251134;0.18285151784694667;1.082806197739538;0.11068836583542087;0.18279399343909397;0;0.0;-1.0
50;5a2b02b7b07e944d86d41969;{'lat': 48.149115726439845, 'long': 11.575826210623754};1.0;108551.92997915483;3651.0036573810876;73.78510517339397;0.7813520864127338;26.05357589539511;124289.75771769819;5332.686486811431;3.5438425820138515;0.113496551331397;1.6309934032108402;132439.3422294043;10230.954080071284;4.217006696813353;0.14436453469435276;1.725311039807903;0.06624287602252056;0.14432353391693425;0;0.0;-1.0
51;5a2b02b7b07e944d86d41969;{'lat': 48.14909914973382, 'long': 11.575968824453932};1.0;3418.3438;11.68086666666667;71.16066666666667;0.8428072319999992;32.35506;325.05938257777774;12.248090400000004;2.3695715555555554;0.05337933994666654;0.3365218666666672;400.3834985281452;32.73836034039851;3.0442894114888004;0.06841939479461125;0.3943986518710887;0.03221276805105744;0.06839660732620757;0;0.0;-1.0
52;5a2b02b7b07e944d86d41969;{'lat': 48.14909151861732, 'long': 11.575914440910658};1.0;3426.8783695398274;16.280331698201348;73.02803083391731;0.8076827470217232;29.331681850035036;117.18977745410164;14.17495715738141;3.767570957345303;0.0890728138016991;0.05016866135089213;147.78539878187078;27.09273193528539;4.849262083410919;0.11427816500870028;0.0671706476414311;0.05767714882186353;0.11423815661537448;0;0.0;-1.0
53;5a2b02b7b07e944d86d41969;{'lat': 48.149111247522605, 'long': 11.575872903246815};1.0;2439.717463162087;3.59631620868178;71.67383512544802;0.8278060023894855;29.535913978494627;50.386323997588626;3.262314585239534;1.4046496490709712;0.07233773703375401;0.13576739764391388;61.94717906398691;4.751031602897454;1.888068361836693;0.09358061089794965;0.16018379240054254;0.04949438308681724;0.09355268346725208;0;0.0;1.0
54;5a2b02b7b07e944d86d41969;{'lat': 48.1491015680182, 'long': 11.57592601474135};1.0;2110.5410131712256;3.495623100303954;71.20243161094226;0.8344515209726437;30.02465045592705;85.40810687262677;3.3909558362050154;2.0068299442909807;0.07764893515174467;0.0841245738675735;103.12620144115772;5.445390100129269;2.4277379097857423;0.10194899530210476;0.11581280519360311;0.05787077963410721;0.10191803403288532;0;0.0;1.0
