;phoneId;location;heartRates;gsr;rrInterval;motionType;skinTemperature;mean(GSR);mean(HR);mean(RR);mean(skinTemp);mad(GSR);mad(HR);mad(RR);mad(skinTemp);std(GSR);std(HR);std(RR);std(skinTemp);receptivity
420000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};0.281464530892;-0.12799974368;-0.0993788819876;1.0;-0.415384615385;2269.65217391;73.1739130435;0.806515478261;31.87;9.66351606805;0.287334593573;0.0376378071834;0.0;10.4386027263;0.387553387882;0.0432490345167;0.0;-1.0
423000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};0.512465373961;-0.151533956483;-0.0601503759399;1.0;-0.415384615385;2253.68421053;75.3684210526;0.815627789474;31.87;8.05540166205;0.997229916898;0.0394347257618;3.5527136788e-15;9.49299526305;1.25656172488;0.0432889621748;3.65006632502e-15;-1.0
426000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};0.0842105263158;-0.174355195284;0.457142857143;1.0;-0.415384615385;2238.2;71.3;0.9357888;31.87;8.3;5.11;0.04181184;3.5527136788e-15;10.2011351278;5.50693342882;0.0464326429206;3.64500732561e-15;-1.0
429000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.710526315789;-0.106853352985;0.0178571428571;1.0;-0.384615384615;2284.0;63.75;0.833748;31.88;63.1;0.525;0.0659532;3.5527136788e-15;75.8190366319;0.716350399411;0.0770515571153;3.64500732561e-15;-1.0
432000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.512465373961;-0.0618624675174;0.390977443609;1.0;-0.384615384615;2314.52631579;65.6315789474;0.920419368421;31.88;51.8781163435;0.465373961219;0.0788694515235;3.5527136788e-15;66.3395042532;0.495594627783;0.0939185402997;3.65006632502e-15;-1.0
435000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.637426900585;-0.149594694178;0.666666666667;1.0;-0.384615384615;2255.0;64.4444444444;0.984458666667;31.88;10.0;0.493827160494;0.0589937777778;3.5527136788e-15;12.2618490113;0.511309992565;0.0643864174496;3.65571221598e-15;-1.0
438000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.619047619048;-0.182019159912;0.224489795918;1.0;-0.384615384615;2233.0;64.619047619;0.881746285714;31.88;6.7619047619;0.471655328798;0.0243800816327;3.5527136788e-15;8.64869932418;0.497613351528;0.0263837396158;3.64044821522e-15;-1.0
441000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.559210526316;-0.202837140752;0.209821428571;1.0;-0.384615384615;2218.875;65.1875;0.878339;31.88;10.140625;1.6328125;0.017629;0.0;11.8145390656;1.83371208209;0.018642941313;0.0;-1.0
444000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.494736842105;-0.234487840825;0.557142857143;1.0;-0.384615384615;2197.4;65.8;0.9590176;31.88;10.9333333333;1.12;0.0190254933333;0.0;12.4372711752;1.20712172424;0.020987404375;0.0;-1.0
447000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.721052631579;-0.251952837141;0.357142857143;1.0;-0.384615384615;2185.55;63.65;0.91256;31.88;10.995;0.455;0.0199104;3.5527136788e-15;11.6188367929;0.48936048493;0.0309238748032;3.64500732561e-15;-1.0
450000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.557894736842;-0.281552444117;0.271428571429;1.0;-0.384615384615;2165.46666667;65.2;0.8926496;31.88;10.7111111111;1.92;0.03185664;0.0;12.4146610716;2.48423601363;0.0412184439382;0.0;-1.0
453000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.168421052632;-0.302947678703;0.3;1.0;-0.384615384615;2150.95;68.9;0.8992864;31.88;6.025;0.45;0.14866432;3.5527136788e-15;7.57054541594;0.640723275517;0.159108451511;3.64500732561e-15;-1.0
456000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.182957393484;-0.215777099344;0.0136054421769;1.0;-0.308424908425;2210.0952381;68.7619047619;0.832760380952;31.9047619048;12.2902494331;0.362811791383;0.0446968163265;0.0188662131519;15.0063478632;0.436435780472;0.0471104845045;0.0199045340611;-1.0
459000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.0712074303406;-0.257011573974;0.0756302521008;1.0;-0.261538461538;2182.11764706;69.8235294118;0.847168;31.92;7.03806228374;1.45328719723;0.0110230588235;1.06581410364e-14;8.82384803346;2.32473907454;0.0137205259374;1.09861603165e-14;-1.0
462000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};0.505263157895;-0.198820928519;-0.160714285714;1.0;-0.261538461538;2221.6;75.3;0.792268;31.92;21.4;0.42;0.022814;3.5527136788e-15;24.5129396549;0.470162345982;0.0279068728;3.64500732561e-15;-1.0
465000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};0.40350877193;-0.275034798985;-0.222222222222;1.0;-0.261538461538;2169.88888889;74.3333333333;0.777980444444;31.92;8.44444444444;0.444444444444;0.0540776296296;7.1054273576e-15;9.62771055119;0.485071250073;0.0609997831107;7.31142443197e-15;-1.0
468000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};0.305263157895;-0.280397936625;0.364285714286;1.0;-0.261538461538;2166.25;73.4;0.9142192;31.92;2.775;0.84;0.02588352;3.5527136788e-15;3.43166370577;0.940324691963;0.0352586420994;3.64500732561e-15;-1.0
