;phoneId;date;location;motionType;mean(SCL);mean(SCR);mean(HR);mean(RR);mean(skinTemp);mad(SCL);mad(SCR);mad(HR);mad(RR);mad(skinTemp);std(SCL);std(SCR);std(HR);std(RR);std(skinTemp);RMSSD;receptivity
4793;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.328996092061505;-0.40588011301963833;-0.22372547262790063;0.11503982754541413;-0.0183179339349684;0.5871740681020841;0.08046913071448583;-0.9129042587255842;-0.11767463666197861;-0.8933333333332897;0.7106096270993609;0.24693095946820218;-0.8969538104364085;0.04779809702675925;-0.8911337892096387;-0.129142356568801;-1.0
4794;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.39368369845783724;-0.4033451380661311;-0.22480064510348535;0.1016325350298379;-0.018339446482161462;0.4747895077910797;0.0787130202607429;-0.9109830291386488;-0.04986798924174031;-0.8908641975308399;0.6381582379069188;0.245667049231906;-0.8913329699510196;0.093208502806674;-0.8898809722420873;-0.06605927918323173;-1.0
4795;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.45911695071007164;-0.3985564462227057;-0.22623420840426478;0.0984778779673493;-0.01836095902935464;0.3412572194483427;0.0753956416040599;-0.9126907887714804;-0.06526513188738367;-0.889382716049371;0.5472636063457522;0.24388546187858576;-0.8909592215387617;0.08906864913254164;-0.8891360774289224;-0.030177020830055443;-1.0
4796;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.5210593234993244;-0.4050983508456677;-0.22730938087984948;0.10478719209232604;-0.018382471576547817;0.1958080848820282;0.07389243954439945;-0.914185078450208;-0.034470846596096616;-0.8888888888888911;0.44755727175277743;0.24540082983834247;-0.8959714603919059;0.10692937469054824;-0.8888888888888911;-0.0819978083248006;-1.0
4797;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.5830676928038862;-0.41714230777645234;-0.2287429441806289;0.11306816688135854;-0.018403984123740877;0.0370259041612925;0.07217738284590061;-0.9133311986337922;0.006736249907468984;-0.8893827160493974;0.3265760467474959;0.24904005485642963;-0.8983450475068154;0.14012368692386146;-0.8891360774289224;-0.07970397514692815;-1.0
4798;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.6408601148549538;-0.4427823091441044;-0.23017650748140847;0.12765845579536791;-0.018425496670934054;-0.11868528600167466;0.08333810567393724;-0.914185078450208;-0.07242085523231447;-0.8908641975308924;0.20890657111562064;0.2560728167118116;-0.9024292570043511;0.07536903490368359;-0.8898809722420874;-0.056467397676100484;-1.0
4799;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.7081535373217605;-0.42857464867467016;-0.2316100707821879;0.13475643418596708;-0.018447009218127117;-0.3255860617127185;0.11782202209553885;-0.9103426192763368;-0.11505909640486585;-0.8933333333333686;0.0007106766684846837;0.2839057428324314;-0.895971460391906;0.0159733426553693;-0.8911337892096387;-0.07691275626536087;-1.0
4800;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.784315465614586;-0.3782493738512503;-0.2323268524325776;0.138436867425537;-0.018468521765320295;-0.581162909343527;0.2451672807900701;-0.903938520653218;-0.13613146791028263;-0.8967901234568388;-0.3428971866599037;0.451728787056619;-0.8878779774978156;-0.024956700413067367;-0.8929123533718469;-0.10886088527663307;-1.0
4801;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.848321258413232;-0.4721609079856457;-0.2323268524325776;0.15105549567549112;-0.018490034312513472;-0.7684497053748827;0.07969375553367157;-0.903938520653218;-0.12413946258050271;-0.901234567901298;-0.6725851639941635;0.48653961282425434;-0.8878779774978156;-0.013072259861753846;-0.8952434398242174;-0.05394279472067774;-1.0
4802;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.8967903986262463;-0.7946729723877082;-0.2323268524325776;0.15736480980046802;-0.018511546859706532;-0.9178973479769811;-0.6262226696448856;-0.903938520653218;-0.09097638611296248;-0.9066666666667301;-0.8912125629623673;-0.4519177859247503;-0.8878779774978156;0.030594921334888458;-0.8981649845565389;-0.056377116977945965;-1.0
4803;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.895566464734844;-0.7866839865366905;-0.2323268524325776;0.16051946686295662;-0.01853305940689971;-0.9138647611795039;-0.611672907394683;-0.903938520653218;-0.1090384188318903;-0.9130864197531642;-0.8855859874489284;-0.4478481362623542;-0.8878779774978156;0.012980198037581697;-0.9017296358413235;0.023445436195925765;-1.0
4804;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.8919015113923243;-0.7706930079554559;-0.2316100707821879;0.16682878098793366;-0.018554571954092772;-0.901511905455999;-0.5726045533602652;-0.9005230013875547;-0.10948256717743765;-0.9204938271605664;-0.867136280915035;-0.42479018541944535;-0.884835007550043;0.012327411339877388;-0.9060105367374128;0.032841197920647214;-1.0
4805;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.8975587106558519;-0.7964513633386767;-0.23089328913179819;0.16682878098793352;-0.01857608450128595;-0.914954941429971;-0.6153475472085894;-0.8979613619383071;-0.10948256717743765;-0.9288888888889756;-0.8752674654074116;-0.45071263056555627;-0.8822153019520356;0.012327411339877388;-0.9111111111111129;0.02912298728514922;-1.0
4806;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.9018996437292875;-0.837407934168187;-0.23053489830660334;0.15894213833171256;-0.018597597048479124;-0.9235802663978288;-0.70139688448833;-0.8951862525349557;-0.15360130283514742;-0.9382716049383737;-0.8758895094456979;-0.5412964900845388;-0.8797794455091432;-0.02324787262957961;-0.9171826675000093;-0.04555187916739412;-1.0
4807;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.9192971378897653;-0.946071614562861;-0.23053489830660334;0.14868950287862462;-0.018619109595672187;-0.978808129948966;-0.9434493072609816;-0.8951862525349557;-0.2036420164334894;-0.9486419753087318;-0.9739064473539655;-0.9257685269640994;-0.8797794455091432;-0.09637012209536469;-0.9244589701689973;-0.044909477532603534;-1.0
4808;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.9202012304270978;-0.9469975047890509;-0.23053489830660334;0.138436867425537;-0.018640622142865364;-0.9794955845587885;-0.9424413727851239;-0.8951862525349557;-0.13820416018950404;-0.960000000000105;-0.9738628417101985;-0.9250583573656973;-0.8797794455091432;-0.034712759996806404;-0.9333333333333346;0.029718803220014925;-1.0
4809;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.921461148804929;-0.944925410878479;-0.23017650748140847;0.13528221036304855;-0.018662134690058424;-0.9804594600906168;-0.9446970774362842;-0.8924111431316041;-0.11792138574283853;-0.972345679012433;-0.974378772431382;-0.9263895172384111;-0.8774749561804354;-0.02532657060913054;-0.9445680387144613;0.04171075703115942;-1.0
4810;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.9228895457587755;-0.9448651553775773;-0.22981811665621346;0.12161202975893183;-0.0186836472372516;-0.9813718622375142;-0.9447626722497955;-0.8896360337282528;-0.025538529868976905;-0.9856790123457811;-0.975114625473802;-0.9265114404941254;-0.8752945509733367;0.05445626753684748;-0.960109890317523;0.04628018682380472;-1.0
4811;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.9242510190315321;-0.9445682473815012;-0.22945972583101862;0.10505008018086717;-0.01870515978444478;-0.9827445875736647;-0.9449188707840764;-0.8868609243249013;0.091617933723196;-0.9999999999998815;-0.9773770395469594;-0.9265975161409031;-0.8732318270071093;0.15352696536386748;-0.9999999999998817;0.04810238075786534;-1.0
4812;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.9260929949094687;-0.9429617122134414;-0.22945972583101862;0.11609137989957705;-0.01870515978444478;-0.9843852082565342;-0.9450239105341839;-0.8868609243249013;0.13613146791028127;-0.9999999999998815;-0.9815107005235012;-0.9269331140526187;-0.8732318270071093;0.24335652916446873;-0.9999999999998817;0.31772447368529305;-1.0
4813;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.9192878675373664;-0.8922305408307144;-0.22910133500582375;0.11451405136833283;-0.01870515978444478;-0.9709288088371443;-0.84312492758946;-0.8840858149215497;0.12902509438152276;-0.9999999999998815;-0.9502104997323979;-0.7710644566982459;-0.8712811266207341;0.23764413827447914;-0.9999999999998817;0.3508217951573419;-1.0
4814;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.9186984118569945;-0.8776380439053191;-0.22910133500582375;0.11766870843082143;-0.01870515978444478;-0.9668280099728569;-0.8059401859561245;-0.8840858149215497;0.1432378414390398;-0.9999999999998815;-0.9495410154682313;-0.7305195382441424;-0.8712811266207341;0.2446568130384209;-0.9999999999998817;0.35070827701083024;-1.0
4815;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.9172003513889775;-0.8622772606838128;-0.22910133500582375;0.11490838350114373;-0.01870515978444478;-0.9627561979886889;-0.7822697367750714;-0.8840858149215497;0.14521183408591737;-0.9999999999998815;-0.9483012761253217;-0.7123697234857274;-0.8712811266207341;0.244568794903718;-0.9999999999998817;0.35885734461579755;-1.0
