;phoneId;location;motionType;mean(SCL);mean(SCR);mean(HR);mean(RR);mean(skinTemp);mad(SCL);mad(SCR);mad(HR);mad(RR);mad(skinTemp);std(SCL);std(SCR);std(HR);std(RR);std(skinTemp);RMSSD;LF;HF;LF/HF;receptivity
6216;5a2b02b7b07e944d86d41969;1;1.0;-0.9737909811503882;-0.9984044764006031;-0.1420816369140829;0.13894324853228954;0.13024165562496093;-0.9963721909415325;-0.997214723838776;-0.2960969044414535;-0.28121577217962757;-0.8184126984127164;-0.9955027455252838;-0.9966500222283011;-0.19930942594394005;-0.1261643504407289;-0.73290850166895;-0.25432501025270665;-0.9961401464073963;-0.8817601424993005;-0.9999993175529828;-1.0
6217;5a2b02b7b07e944d86d41969;1;1.0;-0.9738704397676224;-0.9989877003989718;-0.1466750182691305;0.14921722113502942;0.13010284560540128;-0.9969160905396879;-0.9984705052650537;-0.25953342305966765;-0.28778751369112887;-0.7817460317460436;-0.9964914880053933;-0.9980806130614296;-0.1676621969133069;-0.13227885040887005;-0.7071815743750283;-0.27441531515698714;-0.8864411121824493;-0.9439336340696691;-0.9999576570873137;-1.0
6218;5a2b02b7b07e944d86d41969;1;1.0;-0.9738908889252614;-0.9989956693548889;-0.15126839962417793;0.1499510763209395;0.12996403558584166;-0.9970474139398156;-0.9984075784481583;-0.22611036339165524;-0.2834063526834617;-0.7485714285714353;-0.996692255454994;-0.9980079256340533;-0.14329732903220468;-0.12988667283719954;-0.6857142857142866;-0.3455124289371658;-0.996028649869397;-0.8852267904963019;-0.9999992766313928;-1.0
6219;5a2b02b7b07e944d86d41969;1;1.0;-0.9739118637757653;-0.9991561106068673;-0.15586178097922535;0.14334637964774952;0.12982522556628204;-0.997181416589417;-0.9987204639300453;-0.21287572902646923;-0.3217415115005477;-0.7188888888888915;-0.9969536253139021;-0.9982872665345369;-0.14218092175487468;-0.17765699495764933;-0.6676801120358469;-0.5051361922802572;-0.9095472649371712;-0.8937904301620655;-0.9999821958985933;-1.0
6220;5a2b02b7b07e944d86d41969;1;1.0;-0.9739453454397575;-0.9992783351328185;-0.16066395239586598;0.14995107632093907;0.12968641554672242;-0.9973953218893467;-0.9989977619490276;-0.20592193808882894;-0.309967141292443;-0.692698412698412;-0.9972309116542282;-0.9983138281984661;-0.1432021239787388;-0.17157957626648696;-0.6525440695818161;-0.6036423761181763;-0.9834821013825952;-0.9012839739376544;-0.9999965019248284;-1.0
6221;5a2b02b7b07e944d86d41969;1;1.0;-0.9739551106235822;-0.9994917093917585;-0.16546612381250664;0.13747553816046948;0.12954760552716277;-0.9971186211065834;-0.9994831729279279;-0.20928667563929998;-0.37431544359255203;-0.6699999999999969;-0.9969820443830906;-0.9994606523854422;-0.15097393963916192;-0.2988208385624594;-0.6399404811106136;-0.6665851408001411;-0.947989488354919;-0.9589855178115143;-0.9999734896232974;-1.0
6222;5a2b02b7b07e944d86d41969;1;1.0;-0.9739076109298683;-0.9995317869192042;-0.1702682952291471;0.13820939334637958;0.12940879550760315;-0.9968686791246165;-0.9994674912578896;-0.2296994167788244;-0.37075575027382257;-0.6507936507936462;-0.9966492201806788;-0.9993921970415266;-0.1747284061451358;-0.2955647082765194;-0.6296107336641903;-0.681596588058372;-0.9718627268548614;-0.9579732245979287;-0.9999860035485112;-1.0
6223;5a2b02b7b07e944d86d41969;1;1.0;-0.9738538079468794;-0.999599211729469;-0.17486167658419471;0.1484833659491193;0.12926998548804353;-0.9967071661341621;-0.9995825582588322;-0.25302826379542376;-0.38526834611172056;-0.6350793650793598;-0.9963837093326919;-0.9995377615469256;-0.200349182775328;-0.3029006315640796;-0.6213686779933092;-0.6973516939798302;-0.9953748992579096;-0.9995103319709265;-0.9998025389449515;-1.0
6224;5a2b02b7b07e944d86d41969;1;1.0;-0.9737781076383211;-0.9996070337903746;-0.17945505793924213;0.1682974559686889;0.12913117546848402;-0.9966226390053146;-0.999579629587008;-0.27994616419919227;-0.40443592552026353;-0.6228571428571429;-0.9961648200645009;-0.9995225784601496;-0.2336566824956092;-0.32012949743951585;-0.6150801832769301;-0.7501087456559957;-0.9306120348707978;-0.9711661845984332;-0.9999496911901248;-1.0
6225;5a2b02b7b07e944d86d41969;1;1.0;-0.9736844937055275;-0.9995227900920272;-0.18363085917110342;0.18884540117416845;0.12899236544892453;-0.9963689802633472;-0.9994409453254486;-0.30910722296994136;-0.47015334063526926;-0.614126984126987;-0.9958873245809396;-0.9992912385636327;-0.26258579891194844;-0.45571120233948464;-0.6106505804273735;-0.743268493968893;-0.982916636635263;-0.8920925512464811;-0.9999966903355924;-1.0
6226;5a2b02b7b07e944d86d41969;1;1.0;-0.9735844469697821;-0.9995009409358975;-0.1878066604029649;0.2016878669275932;0.12885355542936477;-0.9960775596910671;-0.9994398060919434;-0.344997756841633;-0.4852135815991248;-0.6088888888888888;-0.995602206062981;-0.9993850220976008;-0.2988745815579344;-0.4690512134260169;-0.6080168451951119;-0.7497012032471262;-0.9946596876322144;-0.8750339791876713;-0.9999991066189724;-1.0
6227;5a2b02b7b07e944d86d41969;1;1.0;-0.9734738676163508;-0.9995326332392568;-0.19114730138845398;0.21122798434442294;0.12871474540980526;-0.9957081263256962;-0.9994735766565845;-0.38492597577388965;-0.4927437020810521;-0.6071428571428583;-0.9952050603416985;-0.9994196676733277;-0.33400433264828555;-0.47194897423986887;-0.6071428571428582;-0.7732009447803431;-0.9814394798551586;-0.9968226762139619;-0.9998778789092563;-1.0
6228;5a2b02b7b07e944d86d41969;1;1.0;-0.9733656850364554;-0.9995241511353506;-0.1953231026203153;0.22076810176125253;0.12857593539024564;-0.9953200635420255;-0.9994713606099032;-0.43562135486765347;-0.46768893756845603;-0.6088888888888905;-0.9948049172880828;-0.9994423358080565;-0.38706727785485495;-0.44120403925079155;-0.608016845195112;-0.7639520530206302;-0.9727818234462154;-0.9125779525647179;-0.9999934912130057;-1.0
6229;5a2b02b7b07e944d86d41969;1;1.0;-0.9732499031594996;-0.9995225081166165;-0.19866374360580435;0.21966731898238756;0.12843712537068602;-0.9948733543697932;-0.9995102663091542;-0.4773441004934946;-0.46111719605695567;-0.614126984126987;-0.994364994082744;-0.9994730916036253;-0.4203342733308497;-0.43004174240688214;-0.6106505804273735;-0.5839045055957994;-0.9792452082566039;-0.9347304677113656;-0.9999933523233753;-1.0
